index,Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
187,1973,ALFA,07-30-73,08-02-73,7/30 - 8/2,40,1005.0,Subtropical Storm
188,1973,BRENDA,08-18-73,08-22-73,8/18 - 8/22,80,977.0,Hurricane
189,1973,CHRISTINE,08-25-73,09-04-73,8/25 - 9/4,60,996.0,Tropical Storm
190,1973,DELIA,09-01-73,09-07-73,9/1 - 9/7,60,986.0,Tropical Storm
191,1973,ELLEN,09-14-73,09-23-73,9/14 - 9/23,100,962.0,Hurricane
192,1973,FRAN,10-08-73,10-13-73,10/8 - 10/13,70,978.0,Hurricane
193,1973,GILDA,10-16-73,10-30-73,10/16 - 10/30,60,968.0,Tropical Storm
194,1974,ALMA,08-12-74,08-15-74,8/12 - 8/15,55,1007.0,Tropical Storm
195,1974,BECKY,08-26-74,09-02-74,8/26 - 9/2,100,977.0,Hurricane
196,1974,DOLLY,09-02-74,09-05-74,9/2 - 9/5,45,1004.0,Tropical Storm
197,1974,CARMEN,08-29-74,09-10-74,8/29 - 9/10,130,928.0,Hurricane
198,1974,ELAINE,09-04-74,09-14-74,9/4 - 9/14,60,1001.0,Tropical Storm
199,1974,FIFI:ORLENE,09-14-74,09-24-74,9/14 - 9/24,95,971.0,Hurricane
200,1974,GERTRUDE,09-27-74,10-04-74,9/27 - 10/4,65,999.0,Hurricane
201,1975,AMY,06-27-75,07-04-75,6/27 - 7/4,60,981.0,Tropical Storm
202,1975,BLANCHE,07-24-75,07-28-75,7/24 - 7/28,75,980.0,Hurricane
203,1975,CAROLINE,08-24-75,09-01-75,8/24 - 9/1,100,963.0,Hurricane
204,1975,DORIS,08-28-75,09-04-75,8/28 - 9/4,95,965.0,Hurricane
205,1975,ELOISE,09-13-75,09-24-75,9/13 - 9/24,110,955.0,Hurricane
206,1975,FAYE,09-18-75,09-29-75,9/18 - 9/29,90,977.0,Hurricane
207,1975,GLADYS,09-22-75,10-04-75,9/22 - 10/4,120,939.0,Hurricane
208,1975,HALLIE,10-24-75,10-28-75,10/24 - 10/28,45,1002.0,Tropical Storm
209,1976,ANNA,07-28-76,08-06-76,7/28 - 8/6,45,999.0,Tropical Storm
210,1976,BELLE,08-06-76,08-10-76,8/6 - 8/10,105,957.0,Hurricane
211,1976,DOTTIE,08-18-76,08-21-76,8/18 - 8/21,45,996.0,Tropical Storm
212,1976,CANDICE,08-18-76,08-24-76,8/18 - 8/24,80,964.0,Hurricane
213,1976,EMMY,08-20-76,09-04-76,8/20 - 9/4,90,974.0,Hurricane
214,1976,FRANCES,08-27-76,09-07-76,8/27 - 9/7,100,963.0,Hurricane
215,1976,GLORIA,09-26-76,10-05-76,9/26 - 10/5,90,970.0,Hurricane
216,1976,HOLLY,10-22-76,10-29-76,10/22 - 10/29,65,990.0,Hurricane
217,1977,ANITA,08-29-77,09-03-77,8/29 - 9/3,150,926.0,Hurricane
218,1977,BABE,09-03-77,09-09-77,9/3 - 9/9,65,995.0,Hurricane
219,1977,CLARA,09-05-77,09-12-77,9/5 - 9/12,65,993.0,Hurricane
220,1977,DOROTHY,09-26-77,09-30-77,9/26 - 9/30,75,980.0,Hurricane
221,1977,EVELYN,10-13-77,10-16-77,10/13 - 10/16,70,994.0,Hurricane
222,1977,FRIEDA,10-16-77,10-19-77,10/16 - 10/19,50,1005.0,Tropical Storm
223,1978,AMELIA,07-30-78,08-01-78,7/30 - 8/1,45,1005.0,Tropical Storm
224,1978,BESS,08-05-78,08-08-78,8/5 - 8/8,45,1005.0,Tropical Storm
225,1978,CORA,08-07-78,08-12-78,8/7 - 8/12,80,980.0,Hurricane
226,1978,DEBRA,08-26-78,08-29-78,8/26 - 8/29,50,1000.0,Tropical Storm
227,1978,ELLA,08-30-78,09-05-78,8/30 - 9/5,120,956.0,Hurricane
228,1978,FLOSSIE,09-04-78,09-16-78,9/4 - 9/16,85,976.0,Hurricane
229,1978,GRETA,09-13-78,09-20-78,9/13 - 9/20,115,947.0,Hurricane
230,1978,HOPE,09-12-78,09-21-78,9/12 - 9/21,55,987.0,Tropical Storm
231,1978,IRMA,10-02-78,10-05-78,10/2 - 10/5,45,1001.0,Tropical Storm
232,1978,JULIET,10-07-78,10-11-78,10/7 - 10/11,45,1006.0,Tropical Storm
233,1978,KENDRA,10-28-78,11-03-78,10/28 - 11/3,70,990.0,Hurricane
234,1979,ANA,06-19-79,06-24-79,6/19 - 6/24,50,1005.0,Tropical Storm
235,1979,BOB,07-09-79,07-16-79,7/9 - 7/16,65,986.0,Hurricane
236,1979,CLAUDETTE,07-15-79,07-29-79,7/15 - 7/29,45,997.0,Tropical Storm
237,1979,ELENA,08-30-79,09-02-79,8/30 - 9/2,35,1004.0,Tropical Storm
238,1979,DAVID,08-25-79,09-08-79,8/25 - 9/8,150,924.0,Hurricane
239,1979,FREDERIC,08-29-79,09-15-79,8/29 - 9/15,115,943.0,Hurricane
240,1979,GLORIA,09-04-79,09-15-79,9/4 - 9/15,85,975.0,Hurricane
241,1979,HENRI,09-15-79,09-24-79,9/15 - 9/24,75,983.0,Hurricane
242,1980,ALLEN,07-31-80,08-11-80,7/31 - 8/11,165,899.0,Hurricane
243,1980,BONNIE,08-14-80,08-19-80,8/14 - 8/19,85,975.0,Hurricane
244,1980,CHARLEY,08-20-80,08-25-80,8/20 - 8/25,70,989.0,Hurricane
245,1980,DANIELLE,09-04-80,09-07-80,9/4 - 9/7,50,1004.0,Tropical Storm
246,1980,GEORGES,09-01-80,09-08-80,9/1 - 9/8,70,993.0,Hurricane
247,1980,EARL,09-04-80,09-11-80,9/4 - 9/11,65,985.0,Hurricane
248,1980,FRANCES,09-06-80,09-21-80,9/6 - 9/21,100,958.0,Hurricane
249,1980,HERMINE,09-20-80,09-26-80,9/20 - 9/26,60,993.0,Tropical Storm
250,1980,IVAN,10-01-80,10-12-80,10/1 - 10/12,90,970.0,Hurricane
251,1980,JEANNE,11-07-80,11-16-80,11/7 - 11/16,85,986.0,Hurricane
252,1980,KARL,11-25-80,11-28-80,11/25 - 11/28,75,985.0,Hurricane
253,1981,ARLENE,05-06-81,05-09-81,5/6 - 5/9,50,999.0,Tropical Storm
254,1981,BRET,06-29-81,07-01-81,6/29 - 7/1,60,996.0,Tropical Storm
255,1981,CINDY,08-02-81,08-05-81,8/2 - 8/5,50,1002.0,Tropical Storm
256,1981,DENNIS,08-07-81,08-22-81,8/7 - 8/22,70,995.0,Hurricane
257,1981,FLOYD,09-03-81,09-12-81,9/3 - 9/12,100,975.0,Hurricane
258,1981,EMILY,08-31-81,09-12-81,8/31 - 9/12,80,966.0,Hurricane
259,1981,GERT,09-07-81,09-15-81,9/7 - 9/15,90,988.0,Hurricane
260,1981,HARVEY,09-11-81,09-20-81,9/11 - 9/20,115,946.0,Hurricane
261,1981,IRENE,09-21-81,10-03-81,9/21 - 10/3,105,959.0,Hurricane
262,1981,JOSE,10-29-81,11-02-81,10/29 - 11/2,45,998.0,Tropical Storm
263,1981,KATRINA,11-03-81,11-07-81,11/3 - 11/7,75,980.0,Hurricane
264,1982,ALBERTO,06-02-82,06-06-82,6/2 - 6/6,75,985.0,Hurricane
265,1982,BERYL,08-28-82,09-06-82,8/28 - 9/6,60,989.0,Tropical Storm
266,1982,CHRIS,09-09-82,09-12-82,9/9 - 9/12,55,994.0,Tropical Storm
267,1982,DEBBY,09-13-82,09-20-82,9/13 - 9/20,115,950.0,Hurricane
268,1982,ERNESTO,09-30-82,10-03-82,9/30 - 10/3,60,997.0,Tropical Storm
269,1983,ALICIA,08-15-83,08-21-83,8/15 - 8/21,100,962.0,Hurricane
270,1983,BARRY,08-23-83,08-29-83,8/23 - 8/29,70,986.0,Hurricane
271,1983,CHANTAL,09-10-83,09-15-83,9/10 - 9/15,65,994.0,Hurricane
272,1983,DEAN,09-26-83,09-30-83,9/26 - 9/30,55,999.0,Tropical Storm
273,1984,CESAR,08-31-84,09-02-84,8/31 - 9/2,50,989.0,Tropical Storm
274,1984,BERTHA,08-30-84,09-04-84,8/30 - 9/4,35,1007.0,Tropical Storm
275,1984,ARTHUR,08-28-84,09-05-84,8/28 - 9/5,45,1004.0,Tropical Storm
276,1984,EDOUARD,09-14-84,09-15-84,9/14 - 9/15,55,998.0,Tropical Storm
277,1984,DIANA,09-08-84,09-16-84,9/8 - 9/16,115,949.0,Hurricane
278,1984,GUSTAV,09-16-84,09-19-84,9/16 - 9/19,45,1006.0,Tropical Storm
279,1984,FRAN,09-15-84,09-20-84,9/15 - 9/20,55,994.0,Tropical Storm
280,1984,ISIDORE,09-25-84,10-01-84,9/25 - 10/1,50,999.0,Tropical Storm
281,1984,HORTENSE,09-23-84,10-02-84,9/23 - 10/2,65,993.0,Hurricane
282,1984,JOSEPHINE,10-07-84,10-21-84,10/7 - 10/21,90,965.0,Hurricane
283,1984,KLAUS,11-05-84,11-13-84,11/5 - 11/13,80,971.0,Hurricane
284,1984,LILI,12-12-84,12-24-84,12/12 - 12/24,70,980.0,Hurricane
285,1985,ANA,07-15-85,07-19-85,7/15 - 7/19,60,996.0,Tropical Storm
286,1985,BOB,07-21-85,07-26-85,7/21 - 7/26,65,1002.0,Hurricane
287,1985,CLAUDETTE,08-09-85,08-17-85,8/9 - 8/17,75,980.0,Hurricane
288,1985,DANNY,08-12-85,08-20-85,8/12 - 8/20,80,987.0,Hurricane
289,1985,ELENA,08-28-85,09-04-85,8/28 - 9/4,110,953.0,Hurricane
290,1985,FABIAN,09-15-85,09-19-85,9/15 - 9/19,55,994.0,Tropical Storm
291,1985,HENRI,09-21-85,09-25-85,9/21 - 9/25,50,996.0,Tropical Storm
292,1985,GLORIA,09-16-85,10-02-85,9/16 - 10/2,125,920.0,Hurricane
293,1985,ISABEL,10-07-85,10-15-85,10/7 - 10/15,60,997.0,Tropical Storm
294,1985,JUAN,10-26-85,11-01-85,10/26 - 11/1,75,971.0,Hurricane
295,1985,KATE,11-15-85,11-23-85,11/15 - 11/23,105,954.0,Hurricane
296,1986,ANDREW,06-05-86,06-08-86,6/5 - 6/8,45,999.0,Tropical Storm
297,1986,BONNIE,06-23-86,06-28-86,6/23 - 6/28,75,990.0,Hurricane
298,1986,CHARLEY,08-13-86,08-30-86,8/13 - 8/30,70,980.0,Hurricane
299,1986,DANIELLE,09-07-86,09-10-86,9/7 - 9/10,50,1000.0,Tropical Storm
300,1986,EARL,09-10-86,09-20-86,9/10 - 9/20,90,979.0,Hurricane
301,1986,FRANCES,11-18-86,11-21-86,11/18 - 11/21,75,1000.0,Hurricane
302,1987,BRET,08-18-87,08-24-87,8/18 - 8/24,45,1000.0,Tropical Storm
